master_relative_path,wordpress_attachment_id,filename,derivative_count,referenced_reason,status,file_exists,notes
2021/01/start-up-office-meeting-board-room_t20_e8kYBB-1.jpg,,start-up-office-meeting-board-room_t20_e8kYBB-1.jpg,27,,ORPHANED,yes,original without dimension suffix
2021/01/sun-africa-hand-telephone-mobile-phone-phone-ghana-samsung-mobile_t20_kLAw1K.jpg,3500,sun-africa-hand-telephone-mobile-phone-phone-ghana-samsung-mobile_t20_kLAw1K.jpg,26,,POSSIBLY_REQUIRED,yes,original without dimension suffix
2021/01/unnamed-1.jpg,,unnamed-1.jpg,25,,ORPHANED,yes,original without dimension suffix
2021/02/Logo-Revert-5-01-1-1.png,,Logo-Revert-5-01-1-1.png,25,,ORPHANED,yes,original without dimension suffix
2021/02/New-Onix.png,,New-Onix.png,25,,ORPHANED,yes,original without dimension suffix
2021/02/aiim-logo.jpg,,aiim-logo.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/ckr.jpg,,ckr.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/cropped-Logo-Revert-5-01-1-1.png,,cropped-Logo-Revert-5-01-1-1.png,25,,ORPHANED,yes,original without dimension suffix
2021/02/cropped-cropped-Logo-Revert-5-01-1-1.png,,cropped-cropped-Logo-Revert-5-01-1-1.png,25,,ORPHANED,yes,original without dimension suffix
2021/02/daikin.jpg,,daikin.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/eaton-logo.jpg,,eaton-logo.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/electric-logo.jpg,,electric-logo.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/kohler-logo.jpg,,kohler-logo.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/nec.jpg,,nec.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/siemens.logo_.jpg,,siemens.logo_.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/uptime-institute-logo.jpg,,uptime-institute-logo.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/02/vertiv-logo.jpg,,vertiv-logo.jpg,2,,ORPHANED,yes,original without dimension suffix
2021/03/Logo-Revert-5-01-1.png,3880,Logo-Revert-5-01-1.png,25,,POSSIBLY_REQUIRED,yes,original without dimension suffix
2021/03/ONIX-Feature.jpg,,ONIX-Feature.jpg,22,,ORPHANED,yes,original without dimension suffix
